Static Pressure,LPM Rota,periph_ch1,periph_ch1_lpm,temp_mcu,Static_Pa,SP_mV,DP_mV,Differential_Pa,Flow_lph,SB lpm,Accuracy,Error,ideal flow,cd
11.8,10,0,,27.5,12256,40.3,1558.3,0.57,766,12.76666667,1.276666667,27.67%,12.767343,0.9242330214
11.8,10,0,,27.9,12328,40.4,1559.27,0.57,766,12.76666667,1.276666667,27.67%,12.767343,0.9242330214
36.23,10,0,,27.9,36851,75.36,1555.95,0.64,809,13.48333333,1.348333333,34.83%,13.52860714,2.678028834
36.23,10,0,,27.9,36833,75.34,1556.74,0.61,795,13.25,1.325,32.50%,13.20772494,2.74309165
36.23,10,0,,27.9,36814,75.31,1555.95,0.64,809,13.48333333,1.348333333,34.83%,13.52860714,2.678028834
52.1,10,0,,27.9,51853,96.75,1554.39,0.68,837,13.95,1.395,39.50%,13.94496905,3.736114423
52.1,10,0,,27.9,51853,96.75,1553.61,0.7,851,14.18333333,1.418333333,41.83%,14.14855601,3.682354578
52.1,10,0,,27.9,51853,96.75,1553.61,0.7,851,14.18333333,1.418333333,41.83%,14.14855601,3.682354578
18.41,20,0,,27.9,18761,49.57,1527.04,1.73,1334,22.23333333,1.111666667,11.17%,22.24263063,0.8276898674
18.41,20,0,,27.9,18743,49.55,1527.04,1.73,1334,22.23333333,1.111666667,11.17%,22.24263063,0.8276898674
18.41,20,0,,27.9,18761,49.57,1527.04,1.73,1334,22.23333333,1.111666667,11.17%,22.24263063,0.8276898674
31.8,20,0,,27.9,32423,69.05,1527.99,1.73,1334,22.23333333,1.111666667,11.17%,22.24263063,1.429687006
31.8,20,0,,27.9,32374,68.98,1526.26,1.77,1348,22.46666667,1.123333333,12.33%,22.49830145,1.413440035
31.8,20,0,,27.9,32374,68.98,1527.04,1.73,1334,22.23333333,1.111666667,11.17%,22.24263063,1.429687006
46.8,20,0,,27.5,47705,90.84,1522.35,1.96,1419,23.65,1.1825,18.25%,23.67506249,1.976763526
46.8,20,0,,27.9,47741,90.89,1522.35,1.96,1419,23.65,1.1825,18.25%,23.67506249,1.976763526
46.8,20,0,,27.9,47760,90.91,1523.13,1.92,1405,23.41666667,1.170833333,17.08%,23.43223492,1.997248669
21.5,25,0,,27.5,21685,53.74,1512.97,2.45,1589,26.48333333,1.059333333,5.93%,26.46952455,0.8122548615
21.5,25,0,,27.9,21630,53.66,1513.75,2.41,1575,26.25,1.05,5.00%,26.25255758,0.8189678258
21.5,25,0,,27.5,21575,53.58,1513.75,2.41,1575,26.25,1.05,5.00%,26.25255758,0.8189678258
34,25,0,,27.9,34512,72.03,1510.63,2.59,1632,27.2,1.088,8.80%,27.21529088,1.249297689
34,25,0,,27.9,34475,71.98,1510.63,2.59,1632,27.2,1.088,8.80%,27.21529088,1.249297689
34,25,0,,27.5,34457,71.95,1510.63,2.59,1632,27.2,1.088,8.80%,27.21529088,1.249297689
49.7,25,0,,27.9,50665,95.06,1508.28,2.72,1674,27.9,1.116,11.60%,27.8899381,1.782004672
49.7,25,0,,27.9,50702,95.11,1508.28,2.72,1674,27.9,1.116,11.60%,27.8899381,1.782004672
49.7,25,0,,27.9,50720,95.13,1508.28,2.72,1674,27.9,1.116,11.60%,27.8899381,1.782004672
3.6,40,0,,27.9,3722,28.13,1453.58,6.91,2668,44.46666667,1.111666667,11.17%,44.45310712,0.08098421535
3.6,40,0,,27.9,3722,28.13,1453.58,6.91,2668,44.46666667,1.111666667,11.17%,44.45310712,0.08098421535
3.6,40,0,,27.9,3722,28.13,1453.58,6.91,2668,44.46666667,1.111666667,11.17%,44.45310712,0.08098421535
19.72,40,0,,27.9,20058,51.42,1443.42,7.9,2852,47.53333333,1.188333333,18.83%,47.53096635,0.41488742
19.72,40,0,,27.9,20058,51.42,1443.42,7.9,2852,47.53333333,1.188333333,18.83%,47.53096635,0.41488742
19.72,40,0,,27.5,20077,51.45,1442.64,7.98,2866,47.76666667,1.194166667,19.42%,47.77102326,0.4128025454
43.03,40,0,,27.9,43813,85.29,1448.11,7.44,2767,46.11666667,1.152916667,15.29%,46.12640057,0.9328714028
